,Global_active_power,hour,day_of_week,month,quarter,is_weekend,is_business_hour,hour_sin,hour_cos,month_sin,month_cos,lag_1h,lag_2h,lag_3h,lag_6h,lag_12h,lag_24h,same_hour_yesterday,same_hour_last_week,roll_mean_6h,roll_std_6h,roll_mean_12h,roll_std_12h,roll_mean_24h,roll_std_24h
Global_active_power,1.0,0.32970716183430726,0.07269807292000426,-0.04642555991672912,-0.052618678780429085,0.09456951679697287,-0.02332814583035716,-0.21986616704832435,-0.12829298431888797,0.14209909168731955,0.24332694722847847,0.7134059916389193,0.4659420848764471,0.28710430542833587,0.018052372196948146,0.23853002126633818,0.43485745816968724,0.43485745816968724,0.45853469028401017,0.38708781189686,0.24174137002143303,0.3454774248515901,0.2416117315186132,0.35674368598238115,0.32044447581288354
hour,0.32970716183430726,1.0,-0.0021851282518258394,5.621973166274079e-05,-0.00028966938846885896,-0.0010633528564102939,0.08023321879688539,-0.7758689563136845,-0.10131570472956695,0.0006411481812639735,-0.0012869503228503478,0.3599846026419383,0.30781148567959915,0.1814708269799997,-0.08725412397116998,-0.06765939216502607,0.3308831519465345,0.3308831519465345,0.3304667483988663,0.1736294801947702,0.020645377112455482,0.06180718225170794,-0.11990246155404974,-0.0006869572850581764,0.0046041305709305785
day_of_week,0.07269807292000426,-0.0021851282518258394,1.0,0.0007857637545452247,0.0024525936633468686,0.7889364153312864,-0.27822533198995797,0.0012751798634613944,0.0014802408437274703,-0.0017849496139821777,0.0020748048581108623,0.07438383650058493,0.07540872837034178,0.07115609569084595,0.050142493613880526,0.00037452555568010676,0.0077587104779937195,0.0077587104779937195,0.07634301024262759,0.09025655304782355,0.005141318224320121,0.07674175530140648,-0.0032462389860008272,0.06817915677585082,0.00931614591417244
month,-0.04642555991672912,5.621973166274079e-05,0.0007857637545452247,1.0,0.9709192112717702,0.00040705256078627807,-0.00011420545746916366,-0.00012245644557893826,4.536262894117819e-05,-0.7761518831594606,0.18200079361253985,-0.04657514597597723,-0.046435149203021525,-0.04647279461431448,-0.047469248004586365,-0.04915908666964539,-0.04903570345553366,-0.04903570345553366,-0.08147524393581886,-0.06388457179039449,-0.0300126115359983,-0.08299817657769554,-0.03995083676011254,-0.10342991347766885,-0.05510592984561855
quarter,-0.052618678780429085,-0.00028966938846885896,0.0024525936633468686,0.9709192112717702,1.0,-0.000530981742178109,8.4506768986317e-05,0.00031889142508575253,2.6105511682201603e-06,-0.7970268979282962,0.19051486099561177,-0.05273488522652935,-0.052617333618024356,-0.05261149425670313,-0.05338339694851102,-0.055085414447673384,-0.05472803140695962,-0.05472803140695962,-0.07889837248165969,-0.07213738915421523,-0.037129708148809865,-0.09348351565284888,-0.0512484182729122,-0.11564770726967794,-0.06787029176160109
is_weekend,0.09456951679697287,-0.0010633528564102939,0.7889364153312864,0.00040705256078627807,-0.000530981742178109,1.0,-0.35237829558233863,0.00023984004178803295,0.0015129479044931726,9.829602562317536e-05,0.005294974576080256,0.09467260081777885,0.09367491485460495,0.08776996988012781,0.06734110758376112,0.030033320899856022,0.03798677331811664,0.03798677331811664,0.09784047103653279,0.11388411626217705,0.011022129087550488,0.11343488614971439,0.013414774004446768,0.11845852194685971,0.05720602751972907
is_business_hour,-0.02332814583035716,0.08023321879688539,-0.27822533198995797,-0.00011420545746916366,8.4506768986317e-05,-0.35237829558233863,1.0,-0.0851318069299395,-0.6518956351212396,2.162162212100226e-05,-0.0025219526338772754,0.03674495538750697,0.10459026744763654,0.10229050577218689,-0.05365528401945637,-0.17628524859424932,0.009066356429216485,0.009066356429216485,-0.024454782953413353,0.05726168748785726,-0.01357743257121017,-0.16220411806175516,-0.09255839781126311,-0.028465232511350944,-0.01685237872109627
hour_sin,-0.21986616704832435,-0.7758689563136845,0.0012751798634613944,-0.00012245644557893826,0.00031889142508575253,0.00023984004178803295,-0.0851318069299395,1.0,-0.00038557068377801415,-0.000733624045650234,0.001384195938277703,-0.24568154276044424,-0.2546597091867281,-0.24624142681945033,-0.12847400899717581,0.22038823597981932,-0.22058993719941686,-0.22058993719941686,-0.22112289082919526,-0.2905261717501754,-0.09331484159861886,-0.10985894180734612,0.13748578589700286,0.0011269823253734583,-0.0065856234840024975
hour_cos,-0.12829298431888797,-0.10131570472956695,0.0014802408437274703,4.536262894117819e-05,2.6105511682201603e-06,0.0015129479044931726,-0.6518956351212396,-0.00038557068377801415,1.0,-2.5909330658394917e-05,0.0007252688118239944,-0.06700222865489668,-0.0010248105456868767,0.0649448632367204,0.22021490789945838,0.12968937693084515,-0.12885105754170337,-0.12885105754170337,-0.12827622867243912,0.11900500516903806,0.18156401146665502,0.26286793955218213,0.11739645355604916,0.0001534475794670861,0.008123291312285048
month_sin,0.14209909168731955,0.0006411481812639735,-0.0017849496139821777,-0.7761518831594606,-0.7970268979282962,9.829602562317536e-05,2.162162212100226e-05,-0.000733624045650234,-2.5909330658394917e-05,1.0,-0.002691699570204935,0.14212214480972882,0.14210852874332378,0.14235969250782113,0.14328246374971942,0.14433008577289275,0.14529943254352035,0.14529943254352035,0.1659821321608842,0.1945994171454745,0.1145682912098699,0.2500318047296638,0.17091643338117657,0.30662508795902543,0.22185709058927106
